abandonable        quittable
disciplinant       practicant
discipliner        driller practicer
disclaimer         refuser
disclosed          exposed revealed uncovered unmasked unveiled
discloser          exposer revealer unmasker unveiler
discomforting      distressing embarrassing paining troubling
disconnected       detached uncoupled unfastened
disconnecter       detacher uncoupler unfastener
disconnector       separator
discountable       rebateable allowable reduceable diminishable
discounter         rebater allower reducer lessener diminisher
discourager        disheartener
discouraging       depressing disheartening
discourser         converser talker discusser declaimer
discoverable       uncoverable revealable manifestable
discovered         uncovered revealed disclosed manifested
discoverer         revealer discloser manifester
discreetly         prudently judiciously carefully tactfully
discreetness       judiciousness carefulness tactfulness
discretely         separately distinctly
discreteness       separateness distinctness
discussable        conferrable arguable debatable
discusser          conferrer discourser arguer debater
disdainer          scorner
diseasedly         morbidly sickly unsoundly
diseasedness       morbidness sickness unsoundness
disentangler       untwister freer
disfavorer         disesteemer disrespecter
disfigurer         defacer marrer blemisher
disgorger          unloader vomiter spewer
disgracer          degrader abaser dishonorer
disguised          masked
disguiser          camouflager masker
disgusted          offended
disguster          sickener revolter repeller offender
disgusting         sickening revolting repelling
dished             plated
disher             bowler plater
dishonestly        falsely cheatingly
disinfecter        sterilizer
disinfector        fumigator
disloyally         unfaithfully falsely untruly inconstantly
dismally           cheerlessly depressingly somberly
dismalness         cheerlessness somberness
dismissable        sendable dischargeable
dismountable       takable gettable
dispatcher         sender expediter killer accomplisher
dispeller          chaser dissipater disperser
dispensable        distributable apportionable excusable
dispenser          distributer apportioner excuser
dispersed          distributed scattered
disperser          distributer scatterer strewer
displaceable       removable succeedable
displacer          remover succeeder
displayable        showable manifestable
displayed          manifested
displayer          shower exhibitioner manifester flaunter
disposedly         pronely willingly pronely aptly
disposedness       proneness willingness proneness aptness
dispositioned      tempered
disputable         doubtable contestable
disputant          contestant
disputer           contradicter controverter doubter contester
disregardable      forgettable ignorable
disregardance      ignorance
disregardant       ignorant
disregarder        disrespecter forgetter ignorer
disrespecter       disesteemer disregarder
disruptable        upsettable
disrupter          disorganizer disturber upsetter messer upper
disruptor          messor
dissected          cutted
dissecting         cutting upping examining
dissenting         discording
dissipated         scattered diffused wasted
dissipatedly       dissolutely licentiously dispersedly
dissipater         scatterer dispeller diffuser waster
dissipator         diffusor
dissolvable        meltable
dissolver          melter thawer vanisher
dissolving         melting vanishing
distancy           rangey
distantly          aloofly remotely
distantness        aloofness asideness farness remoteness
distillable        extractable expressable
distillage         expressage
distilled          extracted expressed concentrated
distiller          expresser dripper
distilling         dripping
distinctly         separately discretely
distinctness       separateness discreteness
distinguisher      discerner
distorted          perverted warped twisted bended
distorter          perverter warper twister bender
distracted         turned confused bewildered
distracter         diverter turner
distressed         pained
distressing        discomforting paining troubling
distributable      allottable apportionable
distributed        dispersed
distributer        allotter apportioner disperser
distruster         doubter
disturbance        annoyance
disturbed          unsettled
disturber          annoyer disrupter molester
disturbing         annoying unsettling
ditcher            channeler trencher canaller
diver              plunger dipper swooper
diversely          manifoldly unlikely distinctly variously
diverseness        manifoldness unlikeness distinctness variousness
diversly           manifoldly unlikely distinctly variously
diverter           amuser beguiler entertainer
diverting          amusing beguiling entertaining
dividable          allottable assignable
divided            assigned
divider            allotter assigner splitter upper
dividing           separating splitting upping
divinely           superhumanly celestially
divineness         godlikeness celestialness
diving             plunging dipping
divisionist        sectionist separationist
divulger           exposer revealer discloser imparter
dockage            wharfage
docker             withholder
doctordom          mandom
doctorly           physicianly learnedly manly sagely
doctrinist         creedist
dodger             avoider eluder evader
dolldom            puppetdom
domer              vaulter
dominionist        possessionist
domy               vaulty
donator            contributor
doomer             lotter
doubleness         twofoldness
doubly             dually
doubtable          discreditable
doubtfully         undecidedly vaguely
doubtfulness       undecidedness vagueness
downcastly         dejectedly modestly bashfully
downcastness       dejectedness modestness bashfulness
downer             underer
downfalling        dropping
downness           downwardness underness
downpouring        flooding storming
dozed              napped reposed
dozer              snoozer napper reposer
dozy               snoozy nappy drowsy
drabby             dully
drably             monotonously
drabness           dullness
drafter            sketcher outliner airer
drafting           sketching airing
drafty             sketchy breezy airy
dragged            protracted
dragger            drawer puller tower tugger hauler protracter
dragging           drawing towing tugging
draggly            drawly
draggy             towy
drainable          drawable
drained            exhausted
drainer            drawer offer exhauster
drawable           pullable tubbable extractable attractable
drawer             hauler dragger puller tuber attracter
drawing            dragging tubing
drawly             draggly
dreadable          fearable
dreader            fearer
dreadfully         awfully hideously
dreadfulness       awfulness hideousness horribleness terribleness
dreamer            visioner
drencher           douser soaker wetter saturater
drenching          soaking wetting
dressed            attired
dresser            attirer arrayer scolder reprover
dressing           clothing scolding
dressy             clothy
driftage           pilage
drifter            piler heaper
drifting           piling
drifty             pily heapy
driller            piercer borer trainer exerciser practicer
drilling           piercing boring training
drinker            siper lapper guzzler swiller swigger
drinking           siping lapping
dripper            dropper dribbler leaker
dripping           dropping trickling
drippy             droppy trickly leaky
drivable           propellable pursuable
driver             propeller impeller urger forwarder pursuer
driving            urging forwarding
drizzly            misty rainy
droner             buzzer hummer
drony              buzzy
drooper            decliner sagger sloucher wilter witherer
drooping           saging slouching withering
droopy             sagy slouchy withery
dropper            letter faller giver upper abandoner
dropping           falling giving upping
droppy             fally givey
drover             flocker herder packer
drovy              flocky
drowner            muffler
drugger            mediciner
druggist           physicist
drummer            boomer hammerer
drumming           booming hammering
drummy             boomy
dually             twofoldly twinly
duller             blunter flatter
dullness           bluntness flatness stolidness stupidness
dumper             dropper discharger unloader
dumping            dropping discharging
dumpy              droppy
duncedom           oafdom fooldom
dungeoner          pitter jailer prisoner
dupedom            fooldom
durableness        permanentness enduringness
duskly             shadowly
dusky              twilighty gloomy shadowy
duster             powderer
dusting            powdering soiling
dusty              powdery earthy soily dirty ashy
dwarfness          stuntness lowness littleness
dwarfy             midgety runty stunty lowy
dwelled            lived outed
dweller            liver resider abider hanger outer
dwelling           living abiding hanging outing
eagerly            desirously keenly fervently earnestly
eagerness          desirousness keenness ferventness earnestness
earner             worker gainer winer deserver meriter
earnest            forest
earnestly          eagerly fervently intently seriously
earnestness        eagerness ferventness intentness seriousness
earning            working gaining winning deserving
earthed            planeted globed worlded grounded landed
earthly            worldly groundly
earthquaking       quaking shocking
earthy             globy worldy groundy
easer              comforter rester reposer
easing             comforting resting
easy               resty
echoer             resounder repeater
eclipsable         surpassable
eclipser           surpasser
edged              browed brimmed margined
edger              verger brimmer curber
edging             briming curbing margining
edgy               curby
editor             redactor revisor corrector
educatable         teachable trainable
educated           trained instructed enlightened
educationable      culturable
educationist       culturist
educator           instructor
effaceable         erasable expungeable
effacer            eraser expunger rubber outer
effecter           outcomer
effectively        efficaciously effectually adequately
effectiveness      effectualness adequateness
ejectable          rejectable expellable discardable castable
ejector            rejector castor
elated             inspired cheered
elatedly           jubilantly exaltedly
elatedness         exaltedness
elater             inspirer cheerer
elator             exhilarator stimulator
elderly            superiorly
electable          choosable selectable decidable callable ordainable
electly            selectly only
elector            selector
elegancy           easy
elegantly          richly tastefully
elevated           raised advanced
elevatedly         epicly highly aerially toweringly
elevatedness       highness aerialness
elevating          lifting raising hoisting advancing
elevator           promotor
elicitable         drawable extractable educable
elicitor           extractor
eliminator         eradicator
elliptically       oblongly ovally
elongated          extended stringed outed
eluder             escaper evader avoider dodger foiler
elusively          evasively
elusiveness        evasiveness
emanator           radiator
embarrassed        abashed
embarrassing       discomforting
emblemist          symbolist signist
embosser           knobber studder engraver chaser ornamenter
embossing          studding engraving chasing
embraceable        holdable huggable
embracer           holder clasper hugger
embracing          holding clasping hugging
emitter            discharger breather
emotionally        hysterically sensuously movingly fervently
emotioned          passioned
emotionist         passionist sensationist
employable         usable hirable
employed           used hired engaged
employer           user hirer engager
enabler            endower authorizer
enactable          decreeable makable passable orderable ordainable
enchanter          pleaser charmer delighter
enchanting         captivating pleasing charming delighting
encircler          surrounder embracer encompasser
encloser           enveloper surrounder inner
encompasser        encircler surrounder includer
encounterable      meetable
encounterer        meeter comer engager
encourager         animater strengthener heartener
encouraging        animating strengthening heartening fortifying
endeavorer         attempter striver laborer aimer
endlessly          incessantly perpetually
endlessness        incessantness perpetualness
endorsable         approvable supportable recommendable
endorser           approver supporter recommender
endower            settler bestower enricher
endurable          bearable sufferable sustainable
endurance          bearance sufferance
endurer            bearer persister sufferer sustainer undergoer
enduring           bearing persisting suffering sustaining undergoing
enforceable        compellable forceable obligable
enforced           forced obliged
enforcer           compeller forcer obliger urger lasher
engager            binder promiser
engaging           binding promising
engraved           cutted printed
engraver           etcher cutter printer
engraving          etching cutting printing
engrossed          absorbed engaged
engrosser          monopolizer controller absorber engager
engrossing         absorbing engaging
enhanced           exaggerated advanced
enhancer           advancer
enjoyable          likable relishable lovable overable
enjoyer            liker relisher lover gloater
enjoying           liking relishing loving gloating
enlargeable        increasable
enlarged           extended
enlarger           increaser extender widener
enlarging          increasing extending
enlisted           enrolled
enlister           signer upper enroller recruiter
enlivener          animater inspiriter quickener
enlivening         exhilarating animating inspiriting
enraged            exasperated
enricher           endower ornamenter adorner
enrolled           listed registered
enroller           lister recorder enterer registerer
ensnarer           catcher neter bagger entangler
ensnaring          catching netting bagging entangling
ensuable           followable succeedable pursuable
ensuance           pursuance
ensuant            pursuant
ensuer             follower succeeder pursuer
entailable         callable requirable
entailer           involver caller requirer
entangled          involved
entangler          ensnarer involver
entangling         ensnaring
enterable          pierceable invadable
enterer            piercer goer inner invader
entering           penetrating piercing going inning
enterpriser        schemer venturer pusher
enterprising       projecting scheming pushing
entertainable      receivable amusable
entertainer        receiver welcomer amuser diverter
entertaining       welcoming amusing diverting
enticeable         seduceable temptable
enticer            allurer decoyer lurer seducer tempter
enticing           alluring seducing tempting
entirely           completely absolutely totally wholly
entireness         completeness absoluteness totalness allness wholeness
entrancing         mouthing
enumerator         countor
enveloper          coverer wrapper surrounder encloser
ephemerally        fugitively transiently
ephemeralness      fugitiveness transientness
epicly             heroicly elevatedly
epochist           cyclist
equalable          matchable
equaling           evening matching
equalling          evening matching
equally            equivalently evenly
equalness          evenness
equiped            furnished provided
equipper           furnisher outfitter rigger provider
equitableness      fairness justness ethicalness honestness unbiasedness
equitably          fairy ethically honesty
equivalently       equally
eradicator         exterminator
erasable           effaceable expungeable
erased             rubbed outed
eraser             effacer rubber outer expunger
erectable          buildable plumbable
erecter            builder plumber constructer
erecting           building plumbing uprighting
erectly            uprightly
erectness          plumbness uprightness
erector            constructor
errantly           wanderingly rovingly
errantness         wanderingness rovingness
erroneously        inaccurately incorrectly
erroneousness      incorrectness
eruditionist       educationist culturist
escaper            retreater
essayer            attempter tester
essentialist       vitalist
essentially        vitally
essentialness      vitalness
establishable      charterable confirmable
established        chartered confirmed
establisher        charterer confirmer founder starter beginner
esteemable         respectable regardable honorable
esteemer           respecter regarder honorer
etcher             engraver carver scratcher
etching            engraving carving scratching
ethereally         delicately lightly tenuously fragilely
etherealness       delicateness lightness tenuousness fragileness
ethically          morally humanely decently
ethicalness        equitableness moralness humaneness decentness
evacuator          ejector
evadable           avoidable shunnable
evader             avoider eluder dodger shunner baffler
evasively          elusively falsely misleadingly
evasiveness        elusiveness falseness
evener             leveler smoother flatter
evening            leveling equaling smoothing flatting
evenly             levelly equally smoothly flatly unvariedly
evenness           levelness equalness smoothness flatness
everlastingly      perpetually timelessly permanently
every              ally
everydayness       usualness normalness
everyness          allness completeness entireness
evictor            ejector
evidently          apparently plainly obviously distinctly
evidentness        apparentness plainness obviousness distinctness
evilly             illy hurty
evilness           illness
evoker             summoner invoker imaginer suggester
exactable          requirable claimable demandable
exacter            requirer claimer demander extorter
exacting           demanding
exaggerated        enhanced inflated
exalter            lifter erecter promoter
examinable         inspectable surveyable provable
examinant          provant
examiner           prover
examining          investigating surveying proving
exasperated        enraged vexed
exasperater        vexer
exasperating       irritating
excavator          minor
exceeder           surpasser outdoer
exceeding          transcending surpassing
excellently        capitally goodly superbly
exchangeable       substitutable tradable
exchanger          substituter trader barterer interchanger
excitable          provokable
excitedly          hecticly tensely restlessly
excitedness        hecticness tenseness restlessness
exciter            arouser provoker tantalizer
exciting           provoking
excitor            stimulator
exclaimer          outer shouter
exclaiming         crying outing shouting
excludable         rejectable
excluder           blackballer rejecter
exclusioner        exiler
exclusively        independently solely restrictedly
exclusiveness      soleness
exclusivist        solist
excreter           expeller remover
excursioner        tripper voyager
excursionist       expeditionist trippist
excusable          pardonable remittable forgivable
excuser            pardoner remitter overlooker forgiver
excusing           pardoning forgiving
executable         performable doable enforceable killable
executant          performant
executed           accomplished enforced
executer           performer doer accomplisher enforcer killer
executioner        actioner
executor           door
exercisable        performable trainable
exerciser          driller performer trainer
exhalable          breathable expellable expirable
exhalant           expellant expirant
exhausted          drained outed
exhauster          drainer letter outer weakener
exhausting         outing weakening
exhibitable        showable presentable displayable produceable
exhibiter          shower presenter displayer producer
exhibitioner       displayer
exhibitor          presentor
exhilarating       inspiriting enlivening
exhilarator        elator
exhorter           inciter urger prompter admonisher
exhumer            digger upper discoverer
exiler             expeller remover banisher
existence          subsistence
exister            liver breather surviver
exorbitantly       expensively unduly excessively extremely
exoticist          alienist
exoticness         foreignness strangeness rareness
expanded           augmented inflated swelled
expander           augmenter inflater stretcher sweller
expanding          swelling
expansionist       extensionist
expectable         anticipatable
expecter           awaiter hoper
expedited          rushed
expediter          dispatcher rusher assister
expeditionist      trippist tourist excursionist
expellable         ejectable dischargeable
expeller           extruder excreter discharger
expendable         spendable disbursable consumable
expender           spender layer outer disburser consumer
expensively        dearly highly exorbitantly
expensiveness      dearness highness
experiencer        haver knower meeter encounterer undergoer
experimenter       attempter venturer adventurer
expertly           skillfully masterly
expertness         skillfulness
expirable          exhalable perishable
expirant           exhalant
expirer            emitter dier
expiring           perishing
explainable        expoundable solvable resolvable fathomable
explainer          expounder solver resolver fathomer
explicitly         expressly plainly clearly definitely
explicitness       expressness plainness clearness definiteness
explodable         destroyable fireable
exploded           fired
exploder           destroyer burster firer
exploitable        utilizable profitable
exploiter          utilizer profiter milker
explorable         searchable fathomable
explorer           seeker searcher fathomer
exploring          seeking searching
exposed            disclosed revealed unearthed
exposer            discloser revealer divulger
expoundable        statable expressable explainable interpretable
expounder          stater expresser explainer interpreter
expressable        utterable representable
expresser          utterer representer symbolizer
expressly          utterly
expressness        utterness
expungeable        erasable effaceable takable
expunger           eraser effacer taker
exquisitely        accurately exactly
exquisiteness      accurateness exactness
extended           continued enlarged
extender           continuer lengthener widener enlarger
extending          enlarging
extensionist       expansionist
extensively        broadly widely hugely largely
extensiveness      broadness wideness hugeness largeness
exteriorly         extraneously outwardly surfacely
exteriorness       outsideness outwardness
exterminator       eradicator annihilator
externally         extraneously outerly
extinguished       smothered
extinguisher       quencher stifler smotherer choker
extorter           drawer exacter wringer
extractable        distillable drawable elicitable suckable
extracted          distilled
extractor          elicitor
extraneously       foreignly exteriorly externally
extravagancy       splurgy wasty
extremely          remotely lastly
extremeness        remoteness utmostness lastness
extricated         freed
fabled             taled
fableist           moralist
fabler             taler
fabricator         constructor inventor
faced              visaged faceted
faceted            faced surfaced
factionist         partyist sectist cabalist
fadable            bleachable
faded              paled dimmed bleached
fader              paler dimer bleacher whitener vanisher
fading             paling bleaching whitening vanishing
fady               paly
failing            blundering missing
fainter            loser courager weakener
fainting           swooning losing hearting weakening
faintly            heartly
fainty             swoony hearty
fairly             beautifully handsomely
fairness           beautifulness handsomeness
fairy              beautifully
faithfully         loyally devotedly exactly
faithfulness       loyalness devotedness exactness
faker              counterfeiter
fallaciously       illogically inaccurately incorrectly
fallage            sinkage
faller             plunger dropper sinker tumbler toppler
fallibly           unreliably
falling            plunging dropping sinking tumbling
fally              droppy sinky tumbly topply
falsely            untruly lily
falseness          untrueness
falser             lier fiber belier
falterer           hesitater waverer stumbler
faltering          hesitating wavering vacillating stumbling
famously           notedly renownedly
famousness         notedness renownedness
farer              getter oner thriver getter
faring             getting thriving getting
farmable           cultivatable
farmer             agriculturer
fascinated         interested
fascinating        captivating charming interesting tempting
fascinator         captivator
fashionable        makable
fashionably        voguey
fashioner          styler maker
fashionist         stylist
fastener           securer maker faster attacker binder
fastening          making fasting binding
faster             starver abstainer swifter
fastidiously       properly meticulously carefully
fastingly          hungerly
fastness           swiftness rapidness
fatalist           mortalist
fatally            lethally mortally fatefully
fatalness          mortalness fatefulness
fated              fortuned
fathered           godded
fatherly           forefatherly godly
fathomable         measurable takable probeable
fathomer           measurer taker probeer
fatiguing          wearying tiring exhausting
fattenable         feedable increasable
fattener           feeder flesher outer increaser enricher
faulter            blemisher
faulty             flawy
favorable          willable esteemable
favorableness      opportuneness
favored            willed
favorer            willer esteemer
favoring           gooding willing
fearable           frightable dreadable
fearer             frighter dreader
fearfully          grimly timidly shyly
fearfulness        grimness timidness shyness
feaster            banqueter spreader holidayer
feathered          plumed quilled plumaged shafted
featherer          plumer quiller shafter
feathering         quilling shafting
feathery           plumy quilly shafty
featy              deedy
federator          incorporator
feebleness         languidness weakness fragileness
feebly             weaky
feedable           eatable consumable devourable grazeable
feeder             eater diner consumer devourer grazer
feeding            eating dining consuming devouring grazing
feigned            pretended shamed
feigner            pretender counterfeiter shamer
feigning           shamming
felinely           cattishly cunningly
felineness         cattishness cunningness
femalely           womanly sexly
femaleness         womanness
fencer             barricader waller hedger railer
fencing            walling hedging railing
fendable           defendable wardable avertable
fender             defender warder averter
fermenter          turmoiler
fertilely          prolificly productively richly creatively
fertileness        prolificness richness creativeness
fervently          earnestly fervidly ardently eagerly
ferventness        earnestness fervidness ardentness eagerness
fetcher            retriever bringer heaver dealer
fetching           carrying heaving dealing
fetterer           shackler restrainer
fibered            threaded corded
fickly             unfaithfully
fictioner          proser lier taler
fictionist         mythist prosist novelist
fiddler            trifler
fiddley            trivially
fiddling           trifling
fidgeter           tosser twitcher twiddler
fidgeting          tossing squirming twiddling
fidgety            tossy squirmy twitchy twiddly
fielded            ranged
fielder            ranger
fieldy             rangey
fiercely           furiously grimly wildly enragedly
fierceness         furiousness grimness wildness
fighter            battler brawler quarreler
fighting           brawling quarreling
figurable          formable shapable
figurant           formant
figured            formed shaped
figurer            former shaper
figury             formy shapy
filamented         haired threaded wired
filcher            pilferer poacher snitcher stealer swiper
filching           pilfering stealing
filer              lister
filing             listing
filled             loaded
filler             completer loader pervader
filling            loading pervading
filmdom            moviedom
filmy              flicky
filterable         strainable refinable screenable
filterer           strainer siever refiner screener
filtering          straining refining screening
finable            penalizable
finally            lastly ultimately decisively
findable           discoverable detectable obtainable learnable
finder             discoverer detecter obtainer learner
finding            learning
fineable           penalizable
finer              forfeiter
finishable         endable concludable
finished           ended
finisher           ender completer concluder
finishing          ending concluding
finitely           limitedly certainly
finiteness         limitedness
fireable           inspirable
fired              flamed inspired
firer              flamer blazer igniter inspirer
firing             flaming blazing inspiring
firmance           securance
firmer             securer
firmly             securely steadfastly solidly
firmness           immovableness secureness steadfastness solidness
firstly            originally primely leadingly
firstness          originalness primeness
fissury            cracky rifty
fixedly            absolutely quiescently
fixedness          absoluteness
flagger            bannerer
flakage            scalage
flaker             flecker scaler
flaky              flecky scaly
flamed             fired passioned
flamer             blazer firer
flaming            blazing firing
flamy              blazy
flanger            lipper waller ribber shielder
flanked            sided winged loined thighed
flanker            sider winger
flanking           siding
flanky             sidy wingy
flapper            tabber flyer lapper tagger folder
flaring            blazing upping flaming shining
flary              blazy flamy shiny
flasher            blazer burster streaker
flashing           flaring blazing gleaming
flashy             flary blazy streaky gleamy
flasker            bottler
flatly             levelly smoothly evenly exactly
flatness           levelness smoothness evenness exactness dullness
flatter            leveler smoother evener exacter duller
flatterer          cajoler complimenter wheedler
flattering         cajoling wheedling
flatting           leveling smoothing evening exacting
flaunter           parader displayer brandisher
flaunting          parading
flavored           tasted savored
flavorer           taster savorer
flavoring          tasting
flavory            tasty savory
flawy              faulty
fleeced            wooled
fleecer            bleeder defrauder shearer wooler
fleecy             woolly
fleer              runer flyer absconder
fleshed            meated tissued
flesher            pulper
fleshly            animally
fleshy             meaty pulpy animally tissuey
flexibleness       pliantness limberness litheness suppleness
flexibly           lithy supply
fley               runny
flighted           coursed
flighter           escaper courser
flighting          coursing
flincher           wincer shrinker recoiler
flinching          wincing shrinking
flinger            thrower caster hurler slinger
flingy             hurly
floatage           driftage
floater            glider drifter beer hoverer
floating           gliding drifting being hovering
floaty             drifty
flocker            drover herder flighter
flocking           herding flighting
flocky             drovy flighty
floggable          whippable
flogger            lasher thrasher whipper striker
flogging           thrashing whipping striking
floorer            decker leveler
flooring           decking leveling
flourishable       wavable wieldable
flourisher         waver wielder flaunter brandisher
flourishing        waving flaunting
flourishy          wavey wieldy flaunty
flowable           runnable
flower             runer glider streamer
flowerage          bloomage pickage
flowered           blossomed picked
flowerer           bloomer bester picker
flowering          blooming
flowery            bloomy blossomy picky
flowing            running gliding trickling streaming
flowingly          fluently liquidly loosely
flowingness        fluentness liquidness looseness
fluently           flowingly gracefully
fluentness         flowingness gracefulness volubleness
fluidly            liquidly
fluidness          liquidness solubleness
fluky              freaky
flusher            blusher elater thriller rinser
flushing           blushing reddening thrilling rinsing
flushy             blushy thrilly
fluted             piped
fluter             groover furrower piper fifer
fluting            grooving piping
flutist            piccoloist
flutterable        wavable wavable
flutterer          quiverer waver whirler flapper rippler waver
fluttering         quivering waving whirling rippling waving
fluttery           quivery wavey whirly ripply wavey
fluty              groovy furrowy pipy
fluxer             flower courser changer
foamer             frother latherer
foaming            frothing
foamy              frothy sudsy lathery spumy
focusable          pointable pointable
focuser            pointer pointer
foiler             frustrater battler balker circumventer
foldable           bendable wrinkleable
folded             bended plaited wrinkled
folder             creaser bender plaiter
folding            creasing bending plaiting
foldy              creasy bendy wrinkly
followable         succeedable pursuable
follower           goer comer succeeder pursuer
following          going coming succeeding
followingly        nextly
fondler            peter caresser
fondling           caressing
fondly             petty
fonted             fountained faced
fooldom            dupedom
fooling            misleading
foolishly          unwisely irrationally
foolishness        unwiseness
footed             based bottomed hoofed
footer             bottomer hoofer pawer
footing            bottoming pawing
footy              hoofy
forager            fodderer feeder fooder herbager
forbiddable        inhibitable
forbidder          prohibiter inhibiter banner
forbidding         banning
forceable          importable
forced             powered
forcer             importer
fordable           traversable wadeable passageable
fording            traversing wading
forecaster         diviner
forecasting        divining
foreigner          aliener stranger
foreignly          strangely extraneously
foreignness        strangeness exoticness
foremostly         leadingly firstly precedently chiefly
forestage          tallage
forestaller        preventer thwarter
forested           timbered timbered landed groved
forester           taller timberer timberer lander
foresty            woodsy tally timbery timbery grovy
foretellable       predictable
foreteller         presager forecaster
forfeiter          finer loser
forgeable          makable inventable
forger             maker counterfeiter inventer
forgettable        disregardable dismissable omittable
forgetter          disregarder overlooker omitter
forging            making
forgivable         excusable pardonable remittable
forgiver           excuser pardoner remitter
forgiving          excusing pardoning
forgoer            relinquisher abandoner
forked             branched
forker             brancher offer
forky              branchy
formable           figurable shapable buildable settable
formant            figurant
formed             figured shaped
former             figurer shaper builder setter upper
formerly           lately previously
formerness         lateness otherness pastness previousness
forming            shaping building setting upping
formy              figury shapy
forsaker           deserter abandoner renouncer quitter
fortifying         strengthening
fortuitously       opportunely randomly casually
fortuned           fated
forwarder          fronter
forwarding         fronting
forwardly          anteriorly foremostly
forwardness        anteriorness futureness
fosterable         cherishable nourishable nurturable raisable
fosterer           cherisher nourisher nurturer raiser
fostering          cherishing nourishing raising
foully             disgustingly unpleasantly
foundationed       based
founder            establisher instituter caster
founding           casting
fountained         jetted
fowler             birder
fowling            birding
fragilely          delicately frailly tenuously
fragileness        delicateness frailness tenuousness
fragmented         bitted parted scraped
fragrancy          perfumy smelly
frailly            fragilely brittlely delicately weakly
frailness          fragileness brittleness delicateness weakness
framable           fashionable
frameable          fashionable
framed             fashioned
framer             constructer fashioner
frankly            ingenuously sincerely
frankness          ingenuousness sincereness
freaky             fluky
freely             independently
freezable          congealable hardenable
freezer            congealer hardener froster
freezing           hardening icing frosting
freightage         loadage
freighter          loader burdener
frequenter         resorter
frequently         repeatedly
frequentness       manyness
freshly            novelly recently newly vigorously
freshness          novelness recentness newness vigorousness
frettage           fumage
fretted            vexed
fretter            vexer fumer
fretting           irritating worrying fuming
fretty             fumy
friarly            brotherly monkly fatherly
friended           neighbored
friendly           neighborly
frightable         dreadable alarmable fearable
frightener         startler scarer cower
frightening        startling terrifying
frighter           dreader fearer
friller            ornamenter
frontage           forage
fronted            faced
fronter            facer frontager
fronting           facing
froster            rimer
frosty             rimy
frother            foamer latherer whisker
frothing           foaming whisking yeasting
frothy             foamy lathery whisky yeasty
frowner            scowler glowerer looker
frowning           scowling glowering looking
fruited            produced
fruiter            producer harvester
frustrately        thwartly
frustrater         baffler defeater foiler outwitter thwarter
fueler             igniter
fugitively         transiently
fugitiveness       transientness
fulfiller          accomplisher performer completer finisher
fuller             completer
fullness           completeness entireness
fumage             frettage
fumbler            groper pawer bungler
fumbling           groping pawing bungling
fumer              fretter gasser smoker
fuming             fretting gassing smoking
fumy               fretty gassy smoky stewy
fundable           storable reservable
fundamentally      radically
funded             reserved
funder             storer reserver
furiously          ragingly violently fiercely stormingly
furiousness        violentness fierceness
furnishable        affordable
furnished          equiped
furnisher          equipper rigger
furnishing         rigging
furrower           fluter groover trencher ditcher
furrowy            fluty groovy guttery
furtherly          additionally
fused              united melted
futilely           ineffectually vainly uselessly
futileness         vainness idleness uselessness
futureness         tomorrowness
futurist           timist
gabbler            cackler chatterer prattler
gainable           increasable profitable
gainer             increaser profiter
gaining            increasing profiting
gaited             stepped paced
gaiter             stepper pacer strider trotter galloper walker
gaiting            stepping galloping walking
gallantly          chivalrously valiantly intrepidly boldly
gallantness        valiantness intrepidness boldness
galloper           runer canterer
galloping          running
gally              impudency
gambler            better chancer hazarder risker wagerer
gambling           betting wagering
gamely             sportly
gaming             sporting matching
gamy               sporty matchy
ganger             crewer bander
ganging            banding
gaper              starer yawner goggler gazer
gaping             staring yawning gazing
gapy               stary yawny goggly gazy peery
gashy              notchy scratchy slashy slitty
gasoliner          fueler oiler
gasper             panter laborer choker puffer exclaimer
gasping            panting laboring choking puffing exclaiming
gaspy              panty choky puffy
gated              portaled
gater              sluicer
gatherable         amassable collectable
gatherer           grouper amasser
gathering          grouping
gating             sluicing
gaugeable          measurable
gauger             measurer
gauging            measuring
gauzy              netty
geared             dressed
gearing            dressing
generalist         universalist
generally          broadly universally globally averagely
generalness        broadness universalness
generating         making breeding
generously         unselfishly widely lavishly
generousness       unselfishness wideness lavishness
genially           cordially jovially
genialness         affableness cordialness jovialness
gentiledom         heathendom pagandom
gentleness         mildness calmness soothingness courteousness
gently             calmy
genuinely          actually authenticly really undisguisedly
genuineness        actualness authenticness realness
germy              seedy
gesturer           signaler
ghosty             phantomy
giftedly           skillfully artfully
giftedness         skillfulness artfulness
girder             binder strapper securer encircler
girding            binding strapping
girdler            belter circler trusser
girdling           belting circling trussing corseting
girly              maidy
giveable           stoppable
giver              upper dropper waiver stoper halter
givey              droppy
giving             upping dropping stoping halting
glaciered          iced
gladdy             cheerfully joyfully
gladly             contently cheerfully joyfully
gladness           contentness cheerfulness joyfulness
glady              cheerfully joyfully
glamoury           romancy
glancer            glimpser beamer looker skimmer grazer
glancing           beaming looking skimming grazing
glaring            scowling frowning glowering staring
glary              frowny stary
glasser            slider
glassy             mirrory
glazer             lusterer shiner
glazing            shining
glazy              shiny
gleaming           lighting beaming flashing glimmering
gleamy             beamy flashy glimmery
gleanable          gatherable
gleaner            gatherer harvester culler winnower
gleaning           gathering culling winnowing
gleed              delighted
glider             floater flower skimmer slipper slider
gliding            floating flowing skimming slipping sliding
glimmering         blinking gleaming flickering flashing
glimmery           blinky gleamy flickery flashy
glimpser           glancer seer
glistening         gleaming sparkling
globally           spherically
globed             balled earthed orbed
globy              bally sphery earthy orby
glooming           shadowing
gloomy             shadowy
